Name,Number,1,2,3,4,5,6,7,8,9,10,11,12,13
Kanakangi,1,1,1,1,0,0,1,0,1,1,1,0,0,1
Ratnangi,2,1,1,1,0,0,1,0,1,1,0,1,0,1
Ganamurti,3,1,1,1,0,0,1,0,1,1,0,0,1,1
Vanaspati,4,1,1,1,0,0,1,0,1,0,1,1,0,1
Manavati,5,1,1,1,0,0,1,0,1,0,1,0,1,1
Tanarupi,6,1,1,1,0,0,1,0,1,0,0,1,1,1
Senavati,7,1,1,0,1,0,1,0,1,1,1,0,0,1
Hanumatodi,8,1,1,0,1,0,1,0,1,1,0,1,0,1
Dhenuka,9,1,1,0,1,0,1,0,1,1,0,0,1,1
Natakapriya,10,1,1,0,1,0,1,0,1,0,1,1,0,1
Kokilapriya,11,1,1,0,1,0,1,0,1,0,1,0,1,1
Rupavati,12,1,1,0,1,0,1,0,1,0,0,1,1,1
Gayakapriya,13,1,1,0,0,1,1,0,1,1,1,0,0,1
Vakulabharanam,14,1,1,0,0,1,1,0,1,1,0,1,0,1
Mayamalavagowla,15,1,1,0,0,1,1,0,1,1,0,0,1,1
Chakravakam,16,1,1,0,0,1,1,0,1,0,1,1,0,1
Suryakantam,17,1,1,0,0,1,1,0,1,0,1,0,1,1
Hatakambari,18,1,1,0,0,1,1,0,1,0,0,1,1,1
Jhankaradhwani,19,1,0,1,1,0,1,0,1,1,1,0,0,1
Natabhairavi,20,1,0,1,1,0,1,0,1,1,0,1,0,1
Keeravani,21,1,0,1,1,0,1,0,1,1,0,0,1,1
Kharaharapriya,22,1,0,1,1,0,1,0,1,0,1,1,0,1
Gourimanohari,23,1,0,1,1,0,1,0,1,0,1,0,1,1
Varunapriya,24,1,0,1,1,0,1,0,1,0,0,1,1,1
Mararanjani,25,1,0,1,0,1,1,0,1,1,1,0,0,1
Charukesi,26,1,0,1,0,1,1,0,1,1,0,1,0,1
Sarasangi,27,1,0,1,0,1,1,0,1,1,0,0,1,1
Harikambhoji,28,1,0,1,0,1,1,0,1,0,1,1,0,1
Dheerasankarabaranam,29,1,0,1,0,1,1,0,1,0,1,0,1,1
Naganandini,30,1,0,1,0,1,1,0,1,0,0,1,1,1
Yagapriya,31,1,0,1,1,1,1,0,1,1,1,0,0,1
Ragavardhini,32,1,0,1,1,1,1,0,1,1,0,1,0,1
Gangeyabhushani,33,1,0,1,1,1,1,0,1,1,0,0,1,1
Vagadheeswari,34,1,0,1,1,1,1,0,1,0,1,1,0,1
Shulini,35,1,0,1,1,1,1,0,1,0,1,0,1,1
Chalanata,36,1,0,1,1,1,1,0,1,0,0,1,1,1
Salagam,37,1,1,1,0,0,0,1,1,1,1,0,0,1
Jalarnavam,38,1,1,1,0,0,0,1,1,1,0,1,0,1
Jhalavarali,39,1,1,1,0,0,0,1,1,1,0,0,1,1
Navaneetam,40,1,1,1,0,0,0,1,1,0,1,1,0,1
Pavani,41,1,1,1,0,0,0,1,1,0,1,0,1,1
Raghupriya,42,1,1,1,0,0,0,1,1,0,0,1,1,1
Gavambhodi,43,1,1,0,1,0,0,1,1,1,1,0,0,1
Bhavapriya,44,1,1,0,1,0,0,1,1,1,0,1,0,1
Shubhapantuvarali,45,1,1,0,1,0,0,1,1,1,0,0,1,1
Shadvidamargini,46,1,1,0,1,0,0,1,1,0,1,1,0,1
Suvarnangi,47,1,1,0,1,0,0,1,1,0,1,0,1,1
Divyamani,48,1,1,0,1,0,0,1,1,0,0,1,1,1
Dhavalambari,49,1,1,0,0,1,0,1,1,1,1,0,0,1
Namanarayani,50,1,1,0,0,1,0,1,1,1,0,1,0,1
Kamavardani,51,1,1,0,0,1,0,1,1,1,0,0,1,1
Ramapriya,52,1,1,0,0,1,0,1,1,0,1,1,0,1
Gamanashrama,53,1,1,0,0,1,0,1,1,0,1,0,1,1
Vishwambari,54,1,1,0,0,1,0,1,1,0,0,1,1,1
Shamalangi,55,1,0,1,1,0,0,1,1,1,1,0,0,1
Shanmukhapriya,56,1,0,1,1,0,0,1,1,1,0,1,0,1
Simhendramadhyamam,57,1,0,1,1,0,0,1,1,1,0,0,1,1
Hemavati,58,1,0,1,1,0,0,1,1,0,1,1,0,1
Dharmavati,59,1,0,1,1,0,0,1,1,0,1,0,1,1
Neetimati,60,1,0,1,1,0,0,1,1,0,0,1,1,1
Kantamani,61,1,0,1,0,1,0,1,1,1,1,0,0,1
Rishabhapriya,62,1,0,1,0,1,0,1,1,1,0,1,0,1
Latangi,63,1,0,1,0,1,0,1,1,1,0,0,1,1
Vachaspati,64,1,0,1,0,1,0,1,1,0,1,1,0,1
Mechakalyani,65,1,0,1,0,1,0,1,1,0,1,0,1,1
Chitrambari,66,1,0,1,0,1,0,1,1,0,0,1,1,1
Sucharitra,67,1,0,1,1,1,0,1,1,1,1,0,0,1
Jyoti swarupini,68,1,0,1,1,1,0,1,1,1,0,1,0,1
Dhatuvardani,69,1,0,1,1,1,0,1,1,1,0,0,1,1
Nasikabhushani,70,1,0,1,1,1,0,1,1,0,1,1,0,1
Kosalam,71,1,0,1,1,1,0,1,1,0,1,0,1,1
Rasikapriya,72,1,0,1,1,1,0,1,1,0,0,1,1,1
